elo1,elo2
1462.661,1484.881
1428.897,1576.821
1514.092,1385.62
1460.581,1507.038
1506.905,1501.245
1468.338,1470.588
1516.803,1504.72
1645.091,1453.565
1519.14,1497.747
1321.676,1299.686
1739.369,1422.697
1628.347,1508.225
1490.798,1654.325
1476.821,1527.472
1468.132,1459.652
1372.241,1540.805
1487.658,1476.315
1480.718,1473.873
1444.331,1478.732
1419.953,1531.836
1570.762,1493.01
1529.229,1699.383
1546.066,1338.393
1282.969,1643.562
1742.113,1479.411
1541.005,1465.053
1649.217,1472.918
1551.725,1531.556
1498.891,1554.367
1532.216,1555.371
1721.344,1748.606
1506.263,1361.321
1466.576,1465.082
1513.185,1496.749
1450.686,1449.033
1426.576,1507.268
1678.547,1496.487
1438.604,1457.842
1277.313,1498.029
1330.092,1478.751
1656.697,1508.73
1426.816,1551.194
1783.458,1409.588
1540.014,1422.592
1465.439,1471.659
1472.903,1488.951
1466.243,1574.551
1536.393,1319.892
1356.708,1309.1
1454.17,1510.876
1473.853,1478.59
1635.02,1477.488
1524.256,1531.344
1581.599,1686.491
1467.15,1506.595
1489.764,1378.888
1473.771,1520.206
1525.989,1579.978
1488.139,1538.615
1416.583,1499.089
1468.467,1479.201
1475.412,1494.248
1439.497,1439.789
1519.647,1493.582
1363.955,1654.118
1669.961,1592.821
1514.408,1577.196
1556.671,1499.334
1520.783,1488.223
1532.017,1449.671
1519.656,1511.615
1504.79,1486.784
1507.193,1525.007
1493.46,1477.228
1636.504,1524.074
1450.004,1363.862
1444.991,1598.144
1663.463,1494.737
1434.295,1428.192
1578.777,1519.476
1354.61,1394.889
1594.352,1626.279
1466.929,1462.202
1557.944,1442.789
1483.191,1529.372
1424.223,1551.316
1545.789,1675.01
1502.642,1325.276
1419.698,1502.346
1508.928,1595.611
1494.849,1486.411
1514.157,1503.759
1611.704,1458.897
1354.969,1528.925
1608.927,1485.191
1430.373,1651.65
1480.32,1314.936
1421.683,1518.175
1463.086,1485.528
1437.261,1532.387
1567.359,1471.51
1491.87,1537.065
1506.849,1441.724
1660.34,1418.674
1538.675,1622.093
1449.207,1556.865
1472.025,1377.045
1433.375,1621.393
1565.864,1541.052
1683.733,1512.982
1529.424,1669.67
1516.638,1581.68
1520.76,1688.86
1409.343,1411.831
1508.175,1463.675
1507.856,1496.845
1512.961,1479.385
1451.728,1590.278
1528.027,1512.066
1637.426,1493.6
1369.685,1457.189
1301.656,1476.648
1648.702,1417.342
1505.973,1435.654
1390.186,1409.095
1493.616,1495.74
1417.335,1282.563
1453.022,1538.597
1604.703,1512.709
1486.331,1539.499
1442.277,1518.37
1430.988,1656.949
1518.828,1501.496
1534.37,1483.88
1670.122,1607.105
1524.291,1686.385
1384.597,1434.902
1457.976,1647.146
1550.798,1514.68
1499.193,1438.75
1446.561,1510.372
1454.195,1399.909
1509.952,1537.114
1708.816,1271.99
1545.058,1427.908
1474.676,1519.057
1686.688,1419.59
1436.817,1413.19
1590.538,1362.464
1666.371,1501.861
1674.748,1566.614
1571.634,1423.533
1570.609,1689.966
1358.643,1577.366
1418.581,1430.403
1551.395,1443.191
1417.801,1594.359
1396.582,1526.296
1511.307,1689.791
1416.488,1466.554
1554.385,1711.343
1526.531,1535.759
1453.425,1475.366
1387.55,1494.869
1269.462,1641.936
1462.577,1550.542
1525.767,1404.951
1418.923,1436.264
1558.323,1405.039
1405.032,1478.09
1510.41,1356.652
1575.573,1648.676
1733.008,1339.888
1532.721,1551.879
1452.08,1676.954
1703.327,1596.121
1476.71,1583.622
1517.839,1437.545
1262.722,1430.061
1497.771,1607.129
1609.911,1541.258
1336.057,1406.163
1536.615,1681.388
1570.4,1501.724
1618.06,1553.129
1442.183,1450.421
1392.962,1470.225
1394.103,1350.179
1449.024,1440.939
1531.471,1736.839
1536.317,1242.642
1634.675,1516.884
1682.991,1450.141
1627.309,1419.067
1589.738,1533.073
1411.001,1419.079
1444.911,1542.836
1419.79,1688.221
1470.884,1403.301
1498.587,1236.123
1502.53,1630.676
1561.431,1568.217
1752.536,1452.89
1540.513,1322.429
1515.774,1360.657
1340.981,1539.051
1635.376,1439.713
1652.971,1649.785
1391.796,1404.386
1312.65,1562.493
1545.198,1430.883
1457.118,1663.812
1641.73,1383.105
1491.079,1584.451
1388.564,1550.292
1491.477,1753.835
1518.905,1560.319
1638.945,1484.447
1451.592,1644.206
1703.625,1361.127
1250.264,1487.866
1438.284,1530.629
1522.155,1574.902
1425.547,1526.775
1542.371,1479.513
1439.574,1358.428
1437.755,1289.621
1648.971,1681.356
1375.864,1550.534
1453.424,1706.692
1536.853,1474.837
1648.554,1363.954
1515.489,1523.839
1358.06,1548.755
1616.285,1352.988
1721.472,1448.509
1352.94,1623.897
1340.963,1722.977
1345.376,1358.444
1449.704,1457.038
1511.216,1353.777
1470.578,1633.582
1553.038,1437.14
1726.859,1654.064
1561.602,1546.614
1443.122,1541.111
1475.27,1535.455
1696.745,1441.106
1277.672,1543.011
1496.317,1573.458
1421.734,1361.566
1730.123,1341.349
1587.055,1562.5
1545.994,1521.64
1564.243,1635.488
1615.085,1523.781
1342.254,1690.354
1489.075,1704.103
1565.762,1300.858
1424.416,1473.615
1446.482,1521.161
1519.825,1433.126
1343.352,1333.816
1433.748,1690.569
1734.438,1571.39
1545.27,1409.818
1653.794,1622.569
1311.767,1471.238
1488.213,1351.598
1419.592,1520.607
1516.298,1539.385
1337.034,1547.028
1496.405,1333.704
1704.725,1527.466
1365.402,1431.701
1295.231,1425.486
1646.246,1604.285
1698.905,1553.485
1401.151,1431.061
1392.634,1489.003
1541.752,1432.319
1503.907,1579.068
1462.955,1566.29
1532.667,1587.429
1380.836,1693.695
1504.263,1545.205
1464.736,1551.452
1516.672,1457.518
1602.275,1435.749
1556.227,1385.81
1354.19,1641.263
1531.516,1587.074
1579.718,1615.364
1578.419,1488.355
1553.667,1522.181
1571.881,1436.47
1438.814,1564.78
1527.287,1535.899
1505.078,1594.62
1617.142,1371.878
1422.661,1376.559
1438.291,1548.215
1655.899,1393.399
1420.405,1418.632
1553.81,1378.311
1450.826,1570.159
1452.654,1572.103
1386.526,1582.805
1352.305,1503.745
1473.654,1480.185
1543.151,1479.226
1538.629,1446.915
1364.604,1460.443
1624.415,1605.32
1425.547,1386.382
1524.557,1593.12
1589.761,1662.772
1541.759,1373.305
1558.816,1417.071
1619.513,1569.436
1568.856,1491.278
1342.218,1433.677
1591.079,1514.148
1599.894,1649.871
1436.185,1372.308
1579.865,1584.912
1496.8,1463.145
1604.037,1369.437
1513.832,1558.429
1494.266,1388.862
1461.739,1548.821
1694.105,1439.621
1361.916,1559.232
1553.147,1457.038
1362.82,1666.117
1497.847,1503.336
1499.338,1484.205
1582.989,1349.43
1475.363,1455.025
1379.792,1323.232
1610.654,1452.663
1666.776,1512.338
1467.608,1443.696
1566.864,1571.718
1588.056,1604.814
1559.963,1460.607
1353.469,1611.708
1493.519,1584.771
1470.166,1558.517
1580.066,1505.887
1501.135,1447.202
1401.784,1589.642
1451.282,1585.391
1472.196,1301.24
1607.479,1475.523
1435.782,1553.312
1569.288,1351.534
1677.404,1621.703
1343.474,1616.115
1342.777,1511.347
1524.978,1429.252
1531.017,1673.228
1346.852,1464.806
1292.06,1390.577
1530.159,1618.196
1600.849,1573.97
1412.897,1637.413
1554.699,1622.948
1637.445,1336.641
1438.384,1481.974
1481.375,1566.799
1539.191,1541.334
1473.225,1595.845
1490.107,1515.869
1323.965,1489.492
1661.694,1509.953
1492.856,1362.78
1673.203,1453.342
1450.677,1513.119
1523.753,1519.717
1582.71,1371.381
1429.827,1640.025
1362.026,1498.445
1526.673,1610.717
1650.974,1620.482
1440.276,1560.808
1544.578,1564.102
1486.361,1320.611
1334.06,1503.597
1624.601,1467.016
1363.236,1545.396
1314.51,1468.442
1457.023,1681.675
1403.447,1556.392
1456.599,1639.248
1615.074,1422.241
1444.87,1465.646
1523.495,1604.207
1578.842,1314.163
1495.354,1498.075
1552.288,1635.018
1656.382,1492.462
1402.486,1498.142
1453.149,1590.856
1300.492,1417.783
1692.022,1453.777
1482.46,1492.53
1482.846,1500.9
1499.258,1598.634
1587.264,1577.687
1456.739,1446.676
1540.437,1382.152
1412.501,1588.672
1581.333,1624.815
1482.956,1340.45
1311.672,1484.148
1568.182,1559.857
1596.589,1665.888
1445.43,1491.223
1332.183,1608.168
1468.752,1336.337
1584.173,1700.095
1603.62,1520.975
1445.703,1426.631
1476.784,1391.343
1370.368,1599.54
1565.412,1350.39
1576.917,1506.238
