0,0,Round 1,Round 1,0,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
27,MEM,Kendrick Perkins\perkike01,0,14,782,17162,4214,4532,813,0.53,0,0.594,21.9,5.4,5.8,1,27.9,0.078,-0.4,7
28,SAS,Leandro Barbosa\barbole01,0,14,850,18386,9035,1720,1775,0.459,0.387,0.821,21.6,10.6,2,2.1,37.4,0.098,-0.4,7.4
29,DAL,Josh Howard\howarjo01,Wake Forest University,10,507,15350,7270,2886,817,0.448,0.332,0.77,30.3,14.3,5.7,1.6,38,0.119,0.6,10.3
30,NYK,Maciej Lampe\lampema01,0,3,64,632,215,142,22,0.407,0.25,0.676,9.9,3.4,2.2,0.3,-0.2,-0.014,-8.7,-1.1
31,CLE,Jason Kapono\kaponja01,University of California Los Angeles,9,509,9068,3398,844,417,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055,-3,-2.3
32,LAL,Luke Walton\waltolu01,University of Arizona,10,564,9685,2649,1588,1317,0.429,0.326,0.715,17.2,4.7,2.8,2.3,13.5,0.067,-1.2,1.9
33,MIA,Jerome Beasley\beaslje01,University of North Dakota,1,2,5,2,1,0,0.333,0,0,2.5,1,0.5,0,0,-0.117,-22.4,0
34,LAC,Sofoklis Schortsanitis\schorso01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,MIL,Szymon Szewczyk\szewcsz01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,CHI,Mario Austin\austima01,Mississippi State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,ATL,Travis Hansen\hansetr01,Brigham Young University,1,41,507,123,70,19,0.354,0.3,0.815,12.4,3,1.7,0.5,0.2,0.019,-5,-0.4
38,WAS,Steve Blake\blakest01,University of Maryland,13,870,20823,5662,1816,3446,0.401,0.383,0.779,23.9,6.5,2.1,4,29.1,0.067,-1.8,1.3
